word,doc_id:freq
obrigatoriedade,"[(2, 1), (220, 1)]"
incluir,"[(2, 1), (36, 1), (62, 1), (89, 1), (160, 1), (238, 1)]"
currículo,"[(2, 2), (129, 2), (159, 1), (221, 1), (222, 1)]"
rede,"[(2, 1), (4, 1), (11, 1), (16, 1), (29, 1), (77, 1), (97, 1), (117, 1), (124, 1), (138, 2), (149, 1), (150, 1), (151, 1), (152, 2), (163, 2), (184, 2), (196, 1), (210, 2), (214, 1), (225, 1), (231, 1), (238, 4), (241, 1), (245, 1), (248, 1)]"
temática,"[(2, 1), (148, 1), (200, 1)]"
cultura,"[(2, 1), (30, 1), (46, 1), (58, 1), (59, 1), (78, 1), (107, 1), (114, 1), (117, 1), (120, 1), (123, 3), (157, 4), (163, 1), (164, 3), (166, 1), (172, 1), (179, 1), (181, 1), (200, 2), (213, 1), (247, 3)]"
afro-brasileira,"[(2, 1)]"
lei,"[(2, 1), (18, 1), (28, 1), (31, 1), (36, 1), (60, 1), (62, 1), (68, 1), (72, 1), (102, 2), (107, 1), (111, 1), (116, 2), (145, 1), (150, 3), (161, 2), (164, 1), (165, 3), (170, 1), (180, 1), (184, 1), (201, 2), (206, 2), (209, 1), (220, 2), (222, 1), (234, 2), (241, 1), (248, 2)]"
11,"[(2, 1), (21, 1), (27, 4), (55, 1), (58, 1), (69, 1), (78, 1), (94, 1), (99, 1), (107, 1), (118, 1), (126, 1), (132, 3), (134, 1), (135, 2), (142, 1), (145, 1), (146, 2), (177, 1), (200, 2), (206, 1), (231, 2), (238, 1), (240, 1), (241, 1)]"
645/2008,"[(2, 1)]"
incluiu,"[(2, 1), (220, 1)]"
temas,"[(2, 1), (12, 1), (20, 1), (28, 1), (31, 2), (59, 1), (85, 1), (89, 1), (162, 1), (189, 1), (196, 1), (200, 2), (201, 1), (210, 1), (212, 1), (220, 1), (235, 1), (238, 2), (239, 2), (241, 1)]"
passaram,"[(2, 1), (36, 1), (46, 1), (59, 1), (64, 1), (108, 1), (114, 1), (131, 1), (137, 1), (177, 1), (193, 1), (206, 1), (207, 1), (216, 1), (229, 1), (231, 2)]"
estudados,"[(2, 1), (237, 1)]"
profundamente,"[(2, 1), (40, 1), (59, 1), (74, 1), (94, 1), (139, 1), (154, 1), (157, 1), (165, 1)]"
lento,"[(2, 1), (64, 1), (107, 1)]"
reformulou,"[(2, 1)]"
pequeno,"[(3, 1), (93, 1), (94, 1), (111, 1), (118, 1), (147, 1), (150, 1), (155, 1), (158, 1), (176, 1), (188, 2), (195, 1), (209, 1), (215, 2), (237, 1)]"
Luisa,"[(3, 5), (156, 1)]"
Gabriel,"[(3, 5), (12, 4), (115, 3), (118, 7), (182, 2), (215, 1)]"
preocupavam,"[(3, 1)]"
menino,"[(3, 1), (5, 1), (150, 1), (179, 3), (182, 1), (194, 4), (238, 1), (241, 1)]"
piscasse,"[(3, 1)]"
pai,"[(3, 4), (5, 3), (12, 3), (18, 2), (30, 1), (38, 2), (79, 2), (107, 1), (113, 1), (117, 1), (152, 1), (159, 1), (176, 2), (182, 1), (186, 1), (192, 2), (194, 5), (197, 2), (206, 1), (225, 1), (241, 4), (248, 3)]"
chegou,"[(3, 1), (6, 6), (14, 3), (16, 1), (20, 1), (24, 1), (27, 1), (36, 2), (40, 1), (41, 1), (46, 2), (52, 1), (54, 5), (60, 1), (64, 2), (65, 2), (66, 1), (80, 2), (82, 1), (94, 1), (102, 1), (119, 1), (120, 1), (133, 1), (150, 1), (164, 1), (165, 1), (170, 1), (174, 1), (182, 1), (183, 3), (184, 1), (188, 1), (189, 2), (195, 1), (196, 1), (213, 2), (218, 1), (223, 2), (225, 1), (230, 1), (231, 2), (237, 2), (239, 1), (240, 1), (243, 1), (244, 1), (247, 1), (248, 1)]"
pingar,"[(3, 1)]"
colírio,"[(3, 1)]"
homeopático,"[(3, 1)]"
serviu,"[(3, 1), (5, 1), (6, 1), (25, 1), (35, 1), (52, 1), (72, 1), (81, 1), (94, 1), (111, 1), (115, 1), (122, 1), (183, 1), (194, 1), (202, 1), (216, 1)]"
tique,"[(3, 1)]"
parecia,"[(3, 1), (5, 3), (9, 1), (10, 1), (28, 1), (35, 1), (137, 1), (195, 1)]"
desaparecido,"[(3, 1), (45, 1), (113, 1), (243, 1)]"
mãe,"[(3, 3), (5, 8), (45, 2), (79, 1), (144, 1), (147, 1), (150, 1), (159, 1), (160, 1), (175, 1), (176, 1), (179, 1), (181, 2), (182, 3), (183, 1), (185, 1), (186, 1), (192, 2), (194, 7), (196, 2), (202, 2), (239, 1), (241, 1), (242, 3), (248, 3)]"
atreveu,"[(3, 1), (7, 1), (194, 1)]"
perguntar,"[(3, 1), (68, 1), (117, 1), (129, 1), (150, 1), (157, 1), (229, 1), (237, 1)]"
melhor,"[(3, 1), (9, 1), (10, 1), (12, 1), (15, 2), (16, 1), (18, 1), (25, 1), (27, 1), (31, 1), (33, 1), (35, 2), (39, 1), (40, 2), (44, 2), (48, 3), (54, 1), (57, 3), (58, 1), (62, 1), (66, 1), (71, 1), (81, 1), (86, 4), (90, 1), (98, 1), (101, 1), (106, 1), (107, 1), (108, 1), (109, 2), (128, 1), (132, 1), (134, 1), (139, 1), (140, 2), (145, 1), (149, 1), (152, 3), (155, 1), (157, 1), (159, 1), (165, 6), (168, 1), (170, 1), (171, 1), (173, 1), (176, 1), (179, 1), (181, 1), (186, 1), (192, 2), (194, 3), (195, 1), (196, 1), (197, 8), (207, 1), (229, 1), (235, 1), (243, 2)]"
contou,"[(3, 1), (6, 1), (8, 1), (24, 1), (62, 2), (75, 1), (88, 1), (106, 2), (129, 1), (157, 2), (193, 1), (196, 1), (216, 1), (229, 1)]"
recordar…,"[(3, 1)]"
observou,"[(3, 1), (27, 1), (141, 1), (143, 1), (246, 1)]"
García,"[(3, 5), (12, 20), (35, 1), (59, 1), (103, 1), (187, 4)]"
Márquez,"[(3, 7), (12, 17)]"
mundo,"[(3, 4), (6, 3), (7, 1), (9, 2), (10, 2), (12, 1), (15, 1), (16, 5), (17, 3), (18, 2), (19, 3), (22, 1), (24, 1), (25, 2), (26, 1), (27, 2), (30, 1), (31, 1), (33, 2), (35, 1), (36, 2), (55, 1), (57, 2), (58, 4), (59, 4), (62, 3), (68, 4), (72, 1), (75, 1), (86, 3), (88, 13), (91, 1), (93, 1), (94, 1), (100, 1), (106, 1), (108, 2), (109, 1), (110, 1), (117, 1), (120, 1), (123, 1), (124, 4), (125, 1), (129, 9), (130, 1), (131, 1), (134, 1), (135, 1), (136, 3), (139, 2), (141, 1), (142, 2), (144, 5), (148, 1), (149, 1), (150, 1), (151, 2), (152, 3), (154, 1), (156, 5), (157, 1), (159, 2), (162, 1), (163, 1), (165, 1), (166, 1), (167, 1), (172, 2), (173, 4), (174, 1), (176, 1), (179, 1), (180, 1), (182, 3), (183, 1), (186, 1), (187, 1), (188, 5), (191, 1), (192, 1), (196, 4), (197, 1), (198, 2), (200, 1), (209, 2), (210, 1), (215, 1), (216, 1), (222, 1), (231, 1), (242, 2), (243, 1), (244, 2), (246, 1), (247, 2)]"
Aracataca,"[(3, 1)]"
Colômbia,"[(3, 1), (62, 8), (64, 14), (96, 2), (98, 2), (138, 1), (187, 1)]"
visitas,"[(3, 1), (40, 1), (113, 1), (162, 1), (202, 1)]"
Gustavo,"[(3, 1), (18, 1), (59, 1), (62, 1), (82, 1), (207, 1)]"
Tatis,"[(3, 9)]"
Guerra,"[(3, 2), (28, 1), (68, 1), (110, 2), (139, 1), (157, 1), (187, 1), (207, 1), (215, 1), (222, 2), (243, 1), (247, 1)]"
escritor,"[(3, 4), (8, 2), (12, 4), (35, 1), (107, 1), (111, 1), (117, 1), (148, 1), (166, 1), (168, 1), (177, 1), (192, 2), (197, 1), (204, 2), (220, 1)]"
amigo,"[(3, 2), (8, 3), (9, 1), (12, 2), (13, 1), (16, 1), (62, 1), (101, 1), (104, 1), (113, 1), (144, 1), (150, 2), (174, 1), (176, 1), (186, 1), (194, 1), (197, 3), (205, 2), (206, 1), (222, 1), (242, 1)]"
família,"[(3, 3), (5, 9), (6, 2), (8, 1), (12, 1), (13, 2), (15, 1), (17, 1), (18, 1), (24, 1), (25, 1), (32, 1), (38, 1), (45, 1), (49, 1), (57, 1), (62, 1), (64, 3), (68, 1), (75, 2), (101, 4), (109, 1), (113, 5), (122, 1), (139, 1), (144, 1), (145, 1), (150, 6), (153, 1), (157, 1), (163, 1), (172, 1), (176, 1), (177, 2), (183, 1), (186, 1), (194, 2), (196, 2), (202, 1), (206, 10), (209, 1), (215, 1), (222, 1), (223, 2), (225, 4), (236, 1), (238, 1), (242, 1), (248, 12)]"
livro,"[(3, 2), (5, 3), (6, 6), (10, 1), (12, 5), (13, 2), (15, 3), (16, 1), (28, 1), (33, 1), (62, 14), (88, 2), (128, 1), (139, 1), (151, 1), (158, 1), (164, 1), (165, 3), (174, 3), (177, 1), (180, 1), (183, 1), (188, 1), (192, 1), (194, 2), (206, 1), (209, 1), (210, 4), (211, 1), (220, 1), (223, 1), (232, 1)]"
apresenta,"[(3, 1), (19, 1), (36, 1), (62, 1), (102, 1), (123, 1), (151, 1), (153, 1), (159, 1), (166, 1), (167, 1), (189, 1), (196, 2), (230, 1)]"
quinta-feira,"[(3, 1), (20, 1), (26, 2), (35, 1), (38, 1), (44, 1), (54, 1), (63, 3), (66, 1), (68, 1), (76, 1), (85, 1), (87, 2), (90, 1), (92, 1), (106, 1), (111, 1), (126, 1), (128, 1), (137, 1), (144, 1), (161, 1), (183, 2), (186, 1), (201, 2), (203, 1), (205, 1), (213, 1), (217, 2), (219, 1), (231, 1), (234, 1), (239, 1), (240, 2), (244, 1), (246, 1)]"
Casa,"[(3, 1), (6, 1), (18, 2), (36, 1), (62, 1), (68, 1), (76, 3), (80, 2), (82, 2), (95, 1), (102, 2), (105, 1), (165, 1), (167, 2), (168, 1), (182, 1), (204, 1), (206, 1), (208, 1), (212, 1), (224, 1), (226, 2), (230, 1), (234, 2), (239, 1), (240, 1), (241, 1), (244, 1)]"
América,"[(3, 1), (7, 1), (9, 1), (18, 1), (22, 2), (25, 3), (27, 1), (31, 9), (56, 1), (59, 2), (61, 1), (86, 2), (88, 1), (96, 1), (105, 1), (108, 1), (114, 1), (115, 1), (117, 1), (120, 3), (122, 2), (132, 1), (145, 1), (160, 2), (166, 1), (168, 1), (187, 1), (203, 1), (207, 1), (223, 1)]"
Madri,"[(3, 1), (29, 1), (33, 2), (35, 1), (37, 1), (43, 1), (53, 1), (55, 1), (57, 1), (58, 1), (59, 1), (66, 1), (70, 1), (84, 1), (111, 2), (123, 1), (124, 3), (128, 1), (136, 1), (138, 1), (174, 2), (187, 1), (192, 2), (198, 1), (199, 1), (242, 2), (248, 4)]"
junto,"[(3, 1), (12, 1), (27, 1), (32, 1), (36, 1), (54, 1), (56, 1), (64, 1), (97, 1), (113, 1), (134, 1), (137, 1), (142, 1), (144, 1), (150, 1), (151, 1), (165, 1), (182, 1), (210, 1), (218, 2), (219, 1), (229, 1), (234, 1), (244, 2), (246, 1), (247, 3), (248, 1)]"
Dasso,"[(3, 1)]"
Saldivar,"[(3, 1)]"
prólogo,"[(3, 1), (197, 1)]"
Juan,"[(3, 1), (12, 1), (82, 1), (87, 1), (103, 2), (124, 1), (155, 1), (174, 1), (203, 1), (246, 1)]"
Cruz,"[(3, 1), (5, 1), (64, 1), (96, 4), (148, 2), (181, 1), (204, 1)]"
baseada,"[(3, 1), (40, 1), (65, 1), (124, 1), (159, 2), (160, 3), (197, 1)]"
páginas,"[(3, 1), (33, 1), (62, 1), (65, 1), (140, 1), (169, 1), (211, 1)]"
esmiúça,"[(3, 1)]"
segredos,"[(3, 1), (5, 2), (16, 3)]"
chaves,"[(3, 1), (106, 1), (220, 1)]"
ocultas,"[(3, 1)]"
Gabo,"[(3, 1), (12, 3)]"
constante,"[(3, 1), (11, 1), (22, 1), (42, 1), (49, 1), (59, 2), (62, 1), (114, 1), (137, 1), (179, 1), (183, 3), (207, 1)]"
malabarismo,"[(3, 1)]"
realidade,"[(3, 4), (11, 4), (12, 2), (17, 1), (18, 2), (22, 1), (28, 1), (29, 2), (30, 1), (42, 1), (58, 1), (59, 1), (78, 1), (87, 1), (98, 3), (106, 1), (109, 1), (114, 1), (121, 1), (123, 1), (124, 2), (137, 1), (146, 1), (148, 1), (149, 1), (151, 1), (156, 1), (160, 1), (164, 1), (165, 1), (172, 1), (173, 1), (183, 1), (184, 1), (192, 1), (200, 1), (232, 1), (238, 1)]"
invenção,"[(3, 2), (123, 1), (161, 1)]"
serviço,"[(3, 1), (6, 2), (18, 1), (29, 3), (39, 1), (97, 2), (98, 2), (111, 1), (123, 1), (129, 1), (140, 1), (142, 3), (150, 4), (184, 1), (186, 1), (198, 1), (206, 1), (216, 2), (217, 1)]"
criar,"[(3, 1), (7, 1), (10, 1), (11, 1), (28, 1), (41, 1), (44, 1), (59, 3), (68, 1), (99, 1), (109, 1), (112, 1), (117, 1), (124, 1), (129, 1), (135, 1), (138, 1), (149, 1), (151, 1), (152, 4), (155, 1), (162, 2), (164, 1), (165, 2), (182, 1), (190, 1), (195, 1), (209, 1), (210, 7), (213, 1), (214, 1), (220, 1), (221, 1), (238, 1), (242, 1), (247, 1)]"
mundos,"[(3, 1), (88, 2)]"
literários,"[(3, 1), (181, 1)]"
ricos,"[(3, 1), (8, 1), (32, 1), (109, 1), (117, 1), (122, 1), (129, 1), (139, 3), (156, 1), (239, 1)]"
literatura,"[(3, 2), (12, 2), (30, 1), (157, 1), (159, 1), (197, 2)]"
universal,"[(3, 1), (32, 2), (35, 1), (123, 1), (151, 1), (157, 2), (162, 1), (181, 1), (247, 1)]"
testemunhas,"[(3, 1), (81, 1), (229, 2)]"
pais,"[(3, 1), (5, 2), (15, 1), (17, 1), (68, 1), (75, 1), (79, 1), (107, 1), (128, 1), (144, 1), (146, 1), (164, 1), (165, 3), (177, 1), (179, 1), (185, 1), (196, 1), (197, 1), (228, 2), (241, 1), (248, 1)]"
costumavam,"[(3, 2), (83, 1), (150, 1)]"
despir,"[(3, 1), (181, 1)]"
imaginário,"[(3, 1), (30, 1), (172, 1), (220, 1)]"
jorro,"[(3, 1)]"
colocava,"[(3, 1), (46, 1), (157, 1)]"
magia,"[(3, 1), (182, 1)]"
devido,"[(3, 1), (4, 1), (23, 1), (39, 1), (62, 1), (107, 1), (110, 1), (118, 1), (141, 2), (174, 1), (205, 1), (209, 1)]"
Eligio,"[(3, 2), (12, 1)]"
GaboAlgo,"[(3, 1)]"
engrandece,"[(3, 1)]"
genialidade,"[(3, 1)]"
criatividade,"[(3, 1), (44, 1), (151, 1), (152, 1), (171, 1), (172, 1)]"
bases,"[(3, 2), (80, 1), (94, 2), (95, 1), (98, 1), (103, 1), (124, 1), (130, 1), (151, 1)]"
firmes,"[(3, 1)]"
embusteiro,"[(3, 1)]"
confessou,"[(3, 2), (12, 1), (56, 1), (72, 2), (103, 1), (194, 2)]"
Martínez,"[(3, 1), (64, 4), (187, 4), (248, 7)]"
capacidade,"[(3, 1), (12, 2), (14, 1), (18, 1), (22, 1), (27, 1), (60, 1), (62, 1), (68, 1), (83, 2), (96, 1), (97, 1), (107, 1), (124, 2), (126, 1), (135, 1), (137, 2), (142, 1), (162, 1), (172, 2), (181, 1), (197, 1), (202, 1), (209, 1), (214, 1), (216, 1), (247, 1)]"
inventar,"[(3, 1), (12, 1), (152, 1), (165, 1), (247, 1)]"
via,"[(3, 1), (12, 1), (17, 1), (28, 1), (45, 1), (67, 1), (74, 2), (75, 1), (87, 1), (89, 1), (100, 1), (108, 1), (114, 1), (160, 1), (172, 1), (206, 4), (210, 1), (229, 1), (234, 1), (247, 1)]"
cérebros,"[(3, 1), (12, 1)]"
Ninguém,"[(3, 1), (12, 1), (15, 1), (57, 1), (64, 1), (68, 1), (91, 1), (102, 1), (106, 1), (111, 1), (124, 1), (128, 1), (143, 1), (150, 1), (153, 1), (183, 1), (196, 1), (203, 1), (210, 3), (238, 1)]"
tira,"[(3, 1), (12, 1), (44, 1), (58, 1), (188, 1), (210, 1)]"
cabeça,"[(3, 1), (5, 1), (12, 1), (15, 1), (18, 1), (30, 2), (55, 1), (62, 1), (65, 1), (101, 1), (102, 1), (150, 1), (157, 1), (173, 1), (192, 1), (193, 1), (194, 1), (197, 1), (200, 1), (210, 1), (222, 1), (223, 1), (229, 3), (242, 1), (248, 1)]"
Gabito,"[(3, 2), (12, 1)]"
bicéfalo,"[(3, 1), (12, 1)]"
confessou-lhe,"[(3, 1)]"
ensaio,"[(3, 1), (10, 5), (30, 1), (123, 1), (157, 1), (192, 1)]"
uniu,"[(3, 1)]"
ofício,"[(3, 1), (192, 2)]"
telegrafista,"[(3, 1)]"
sentiu,"[(3, 1), (8, 1), (18, 1), (35, 1), (70, 1), (91, 1), (197, 2), (248, 1)]"
certa,"[(3, 1), (7, 1), (10, 1), (36, 1), (40, 1), (41, 1), (50, 1), (62, 2), (74, 1), (107, 1), (113, 1), (146, 1), (150, 2), (151, 1), (155, 1), (168, 1), (172, 1), (192, 1), (213, 1), (216, 1)]"
concorrência,"[(3, 1), (31, 1), (44, 1), (107, 1), (124, 1), (136, 1), (143, 1), (184, 1), (210, 1)]"
filho,"[(3, 4), (5, 3), (12, 2), (14, 2), (18, 2), (24, 1), (30, 1), (42, 1), (46, 1), (64, 2), (72, 1), (107, 1), (109, 1), (113, 3), (121, 1), (150, 2), (159, 1), (169, 1), (172, 1), (181, 1), (188, 1), (194, 11), (195, 2), (197, 1), (202, 1), (204, 1), (205, 1), (206, 3), (211, 1), (215, 1), (225, 1), (227, 1), (239, 1), (241, 4), (242, 1), (248, 2)]"
causa,"[(3, 1), (4, 1), (6, 1), (14, 1), (22, 1), (24, 1), (29, 1), (39, 1), (56, 1), (75, 1), (77, 2), (81, 1), (89, 1), (97, 1), (98, 2), (102, 1), (107, 1), (108, 1), (111, 1), (112, 1), (114, 1), (118, 1), (121, 1), (128, 2), (130, 1), (134, 1), (142, 3), (143, 1), (156, 1), (184, 1), (190, 1), (194, 1), (207, 1), (216, 1), (222, 1), (225, 3), (235, 1), (238, 1)]"
comenta,"[(3, 2), (21, 1), (107, 3), (109, 1), (118, 1), (155, 1), (177, 1), (206, 1)]"
1982,"[(3, 1), (114, 1)]"
comprovar,"[(3, 1), (5, 1), (35, 1), (46, 1)]"
obras,"[(3, 1), (11, 2), (12, 1), (59, 12), (83, 1), (117, 3), (163, 1), (166, 1), (174, 6), (176, 1), (180, 9), (183, 1), (184, 6), (186, 1), (187, 8), (190, 1), (200, 4), (203, 1)]"
escala,"[(3, 1), (77, 1), (124, 1), (127, 1), (141, 1), (183, 2), (247, 1)]"
transmutação,"[(3, 1)]"
mecanismo,"[(3, 1), (18, 1), (46, 1), (81, 1), (106, 1)]"
levava,"[(3, 1), (12, 1), (157, 1), (229, 1)]"
mentira,"[(3, 1), (5, 1), (155, 2), (164, 1), (165, 1)]"
refletia,"[(3, 1)]"
romances,"[(3, 1), (12, 1), (65, 1), (192, 1)]"
falso,"[(3, 1), (8, 1), (56, 1), (77, 1), (88, 2), (101, 1), (183, 1), (214, 1)]"
tirado,"[(3, 1), (5, 1), (35, 1)]"
leu,"[(3, 1), (9, 1), (13, 1), (56, 1), (155, 1)]"
atenção,"[(3, 1), (8, 1), (10, 1), (11, 2), (29, 2), (35, 1), (44, 1), (55, 1), (75, 1), (109, 2), (122, 1), (129, 1), (134, 2), (147, 1), (150, 3), (151, 1), (164, 1), (175, 1), (185, 1), (186, 1), (197, 2), (204, 1), (210, 3), (213, 1), (220, 1), (221, 1), (231, 1), (238, 3), (239, 2), (247, 1)]"
orgulhava,"[(3, 1)]"
casa,"[(3, 3), (5, 3), (6, 1), (12, 5), (21, 1), (29, 4), (37, 1), (50, 1), (53, 3), (55, 1), (64, 1), (67, 1), (68, 1), (70, 1), (73, 2), (84, 1), (88, 1), (92, 1), (93, 1), (98, 2), (107, 2), (111, 3), (113, 3), (114, 1), (115, 1), (117, 1), (118, 1), (124, 2), (146, 2), (150, 4), (156, 3), (157, 5), (165, 2), (174, 1), (175, 1), (177, 1), (179, 4), (180, 1), (183, 1), (186, 1), (192, 1), (194, 1), (195, 1), (196, 3), (202, 2), (207, 1), (210, 1), (215, 2), (217, 1), (222, 1), (238, 1), (239, 2), (241, 1), (242, 1), (245, 1), (248, 11)]"
filha,"[(3, 1), (5, 2), (12, 1), (79, 2), (103, 1), (108, 1), (112, 1), (132, 1), (150, 2), (157, 2), (174, 1), (186, 1), (192, 1), (207, 1), (215, 1), (216, 1), (221, 1)]"
freira,"[(3, 1), (163, 1)]"
rebento,"[(3, 1)]"
ganhador,"[(3, 1), (48, 1), (53, 1), (106, 1)]"
Nobel,"[(3, 2), (25, 1), (62, 1), (129, 1), (163, 1)]"
insuperável,"[(3, 1)]"
ceticismo,"[(3, 1), (35, 1), (62, 1), (123, 1)]"
tirar,"[(3, 2), (16, 1), (36, 1), (39, 1), (44, 1), (58, 1), (70, 1), (79, 1), (87, 1), (111, 1), (137, 1), (248, 3)]"
único,"[(3, 1), (22, 1), (40, 1), (46, 1), (53, 2), (54, 1), (65, 1), (67, 1), (81, 1), (87, 1), (109, 2), (124, 1), (129, 1), (142, 1), (150, 1), (151, 1), (164, 1), (165, 1), (172, 2), (192, 1), (195, 2), (197, 1), (203, 1), (216, 1), (229, 3)]"
proveito,"[(3, 1)]"
honraria,"[(3, 1), (150, 1)]"
dada,"[(3, 1), (36, 1), (72, 1), (89, 1), (103, 1), (144, 1), (151, 1), (195, 1), (197, 1), (207, 1)]"
finalmente,"[(3, 1), (28, 1), (62, 1), (88, 1), (102, 1), (125, 1), (142, 1), (150, 2), (151, 1), (165, 1), (182, 1), (183, 1), (194, 1), (230, 1), (243, 1)]"
arrumassem,"[(3, 1)]"
telefone,"[(3, 1), (8, 1), (13, 1), (21, 1), (29, 2), (35, 1), (45, 1), (64, 2), (69, 2), (113, 1), (117, 1), (144, 1), (198, 1), (216, 1)]"
mantra,"[(3, 1)]"
minimizar,"[(3, 1), (135, 1), (152, 1), (210, 1)]"
importância,"[(3, 1), (11, 1), (29, 1), (35, 1), (36, 1), (40, 1), (100, 1), (101, 1), (107, 1), (122, 1), (124, 1), (137, 1), (140, 1), (148, 1), (158, 1), (179, 1), (192, 1), (193, 1)]"
repelia,"[(3, 1)]"
entrevistas,"[(3, 1), (10, 1), (83, 1), (179, 1), (184, 1), (190, 1), (196, 2)]"
repórteres,"[(3, 1), (7, 1), (196, 1)]"
compareciam,"[(3, 1), (163, 1)]"
devia,"[(3, 1), (62, 1), (75, 1), (163, 2), (165, 1), (183, 2), (188, 1), (190, 1)]"
responder,"[(3, 1), (59, 1), (75, 1), (101, 1), (102, 1), (145, 2), (146, 1), (165, 3), (196, 2), (201, 1), (207, 1), (210, 1), (213, 1), (216, 3), (230, 1), (232, 1), (247, 1)]"
diferente,"[(3, 1), (13, 2), (24, 2), (28, 1), (57, 1), (58, 1), (75, 1), (88, 1), (105, 1), (123, 1), (128, 1), (139, 1), (142, 1), (153, 1), (157, 1), (166, 1), (174, 1), (179, 1), (182, 2), (183, 3), (188, 1), (201, 1), (220, 1)]"
Tratavam-no,"[(3, 1)]"
alguém,"[(3, 2), (8, 1), (24, 1), (25, 1), (29, 1), (30, 1), (35, 1), (46, 1), (62, 1), (91, 1), (98, 1), (101, 1), (102, 1), (107, 1), (150, 1), (153, 1), (162, 1), (179, 1), (185, 1), (188, 1), (195, 1), (197, 2), (201, 1), (206, 1), (217, 1), (224, 1), (231, 1), (242, 1)]"
ficava,"[(3, 1), (106, 1), (157, 1), (177, 1), (180, 1), (183, 1), (197, 1)]"
ouvindo,"[(3, 1), (30, 1), (140, 1)]"
histórias,"[(3, 2), (5, 4), (12, 1), (13, 1), (62, 1), (64, 1), (145, 1), (157, 1), (160, 6), (162, 1), (179, 2), (185, 1), (189, 1), (197, 1), (198, 1), (210, 1), (243, 1)]"
jantar,"[(3, 1), (25, 1), (41, 1), (68, 1), (76, 1), (101, 1), (108, 1), (216, 1)]"
germe,"[(3, 1)]"
Remédios,"[(3, 1)]"
bela,"[(3, 1), (24, 1), (193, 1)]"
personagem,"[(3, 1), (8, 1), (9, 2), (62, 1), (85, 1), (120, 1), (148, 2), (150, 1), (159, 1), (165, 1), (181, 3), (188, 2), (189, 1), (190, 1), (197, 2), (210, 1), (241, 1)]"
elevava,"[(3, 1)]"
céu,"[(3, 1), (16, 1), (110, 1), (124, 1), (186, 1), (194, 3), (224, 1), (228, 1)]"
Baseia-se,"[(3, 1)]"
criada,"[(3, 1), (5, 2), (125, 1), (151, 1), (171, 1)]"
fugiu,"[(3, 1), (64, 1), (72, 2), (171, 1), (229, 1)]"
amante,"[(3, 1)]"
perguntaram,"[(3, 1), (44, 2), (239, 1)]"
dona,"[(3, 1), (197, 1)]"
acontecido,"[(3, 1), (75, 1), (79, 1), (91, 1), (150, 1), (194, 1)]"
respondeu,"[(3, 1), (14, 1), (19, 1), (21, 1), (29, 1), (44, 1), (55, 1), (56, 2), (68, 1), (78, 1), (100, 1), (110, 1), (157, 1), (162, 1), (172, 1), (174, 1), (204, 2), (217, 2), (232, 1), (239, 1)]"
voando,"[(3, 1), (68, 1)]"
presente,"[(3, 1), (19, 1), (21, 1), (38, 1), (76, 1), (113, 2), (117, 1), (118, 1), (123, 1), (124, 2), (148, 1), (150, 1), (153, 1), (162, 1), (163, 2), (171, 1), (181, 1), (187, 1), (194, 1), (197, 1), (223, 1), (226, 1), (237, 1), (248, 1)]"
associou,"[(3, 1), (242, 2)]"
termos,"[(3, 1), (20, 1), (31, 1), (32, 1), (36, 1), (107, 3), (131, 1), (141, 1), (144, 2), (146, 1), (151, 1), (162, 1), (189, 1), (197, 1), (209, 1), (220, 1), (221, 1), (232, 1)]"
transformar,"[(3, 1), (14, 1), (68, 2), (107, 1), (159, 1), (172, 2), (173, 1), (184, 1), (195, 1), (196, 1), (197, 2), (215, 1), (222, 2), (241, 1)]"
explicação,"[(3, 1), (12, 1), (83, 1), (151, 1), (161, 1), (183, 1)]"
Dona,"[(3, 1), (137, 1)]"
vangloriava,"[(3, 1)]"
lido,"[(3, 1), (155, 1), (159, 1), (212, 1)]"
romance,"[(3, 1), (8, 2), (9, 1), (12, 8), (18, 1), (150, 1), (157, 1), (165, 1), (188, 2), (192, 1), (197, 2)]"
vivido,"[(3, 1), (14, 1), (25, 1), (32, 1), (75, 1), (88, 1), (119, 1), (120, 1), (150, 1)]"
Tampouco,"[(3, 1), (123, 1), (129, 2), (228, 1), (248, 1)]"
interessou,"[(3, 1), (196, 1)]"
razão,"[(3, 1), (4, 1), (17, 1), (18, 1), (28, 1), (39, 1), (62, 1), (75, 1), (77, 1), (90, 1), (111, 1), (129, 1), (145, 1), (152, 1), (153, 1), (165, 2), (181, 1), (184, 1), (190, 1), (204, 1), (210, 1), (215, 1)]"
diametralmente,"[(3, 1), (62, 1), (123, 1)]"
oposta,"[(3, 1), (78, 1)]"
sofri,"[(3, 1)]"
razões,"[(3, 1), (24, 2), (40, 1), (41, 1), (62, 1), (133, 1), (150, 2), (160, 1), (172, 1), (210, 1), (231, 1)]"
incomodassem,"[(3, 1), (121, 1)]"
descrito,"[(3, 1), (76, 1), (150, 1), (243, 1)]"
Úrsula,"[(3, 1), (199, 1)]"
parâmetros,"[(3, 1), (75, 1)]"
