word,doc_id:freq
Brasil,"[(0, 1), (2, 4), (5, 2), (7, 3), (9, 1), (11, 2), (13, 1), (14, 5), (17, 3), (18, 11), (20, 2), (21, 6), (22, 2), (23, 2), (24, 4), (25, 10), (31, 2), (33, 1), (36, 1), (41, 5), (43, 1), (44, 2), (46, 1), (58, 4), (68, 3), (72, 4), (75, 2), (88, 1), (91, 1), (94, 1), (96, 2), (100, 3), (104, 5), (110, 3), (114, 5), (115, 1), (119, 2), (120, 2), (122, 2), (123, 2), (125, 2), (126, 3), (129, 1), (132, 4), (133, 1), (137, 3), (138, 2), (139, 4), (142, 2), (145, 3), (146, 1), (148, 4), (149, 1), (150, 47), (153, 2), (154, 3), (155, 3), (159, 5), (160, 1), (163, 3), (164, 1), (165, 15), (166, 1), (170, 1), (171, 7), (172, 7), (173, 2), (177, 1), (182, 1), (183, 2), (189, 2), (198, 2), (200, 6), (203, 4), (204, 1), (207, 3), (209, 6), (210, 2), (211, 3), (212, 2), (213, 2), (214, 2), (215, 4), (216, 1), (217, 2), (218, 1), (221, 2), (222, 2), (223, 5), (227, 1), (228, 5), (229, 4), (231, 1), (233, 1), (234, 1), (237, 7), (238, 1), (240, 1), (241, 1), (247, 9)]"
militares,"[(0, 2), (2, 1), (5, 4), (6, 1), (24, 2), (36, 1), (41, 1), (62, 5), (64, 11), (82, 1), (93, 1), (98, 1), (100, 1), (103, 7), (113, 3), (114, 5), (125, 2), (132, 1), (139, 3), (149, 1), (150, 1), (164, 2), (165, 4), (168, 4), (171, 3), (204, 1), (207, 11), (208, 2), (215, 1), (220, 1), (222, 3), (223, 7), (228, 1), (229, 1), (232, 1), (237, 1), (245, 1), (246, 5)]"
preferem,"[(0, 1), (62, 1), (64, 1), (124, 1), (171, 1), (173, 1), (175, 1), (239, 1)]"
31,"[(0, 2), (2, 2), (27, 1), (51, 1), (75, 1), (85, 3), (95, 1), (119, 1), (146, 1), (150, 1), (164, 1), (165, 4), (193, 2), (195, 1), (207, 3), (215, 1), (232, 1), (234, 1), (235, 1), (243, 1)]"
março,"[(0, 1), (2, 2), (5, 1), (9, 1), (19, 1), (31, 1), (37, 1), (41, 1), (44, 1), (58, 2), (60, 1), (62, 1), (64, 1), (79, 1), (89, 1), (90, 1), (93, 1), (95, 2), (96, 1), (97, 1), (99, 1), (104, 1), (105, 2), (113, 1), (119, 1), (132, 1), (140, 1), (142, 1), (150, 2), (161, 1), (164, 1), (165, 3), (176, 1), (178, 1), (189, 1), (194, 3), (203, 1), (205, 1), (206, 1), (207, 3), (211, 1), (215, 1), (216, 1), (222, 1), (223, 1), (225, 1), (232, 1), (236, 1), (240, 1), (241, 1), (248, 1)]"
1º,"[(0, 1), (5, 1), (25, 1), (56, 1), (95, 1), (164, 1), (196, 1), (214, 2), (222, 2), (248, 1)]"
abril,"[(0, 1), (4, 1), (5, 1), (26, 1), (27, 2), (35, 2), (53, 1), (85, 1), (89, 4), (90, 2), (94, 1), (95, 1), (99, 3), (102, 1), (111, 1), (114, 1), (133, 1), (136, 1), (150, 1), (161, 3), (164, 2), (165, 1), (189, 1), (191, 1), (195, 1), (196, 2), (219, 1), (225, 2), (230, 1), (231, 1), (233, 1), (235, 1), (245, 1)]"
partiu,"[(0, 1), (1, 1), (243, 1)]"
presidente,"[(0, 4), (1, 1), (6, 1), (7, 3), (8, 1), (14, 3), (17, 6), (18, 11), (20, 5), (21, 5), (22, 4), (23, 1), (24, 8), (25, 4), (26, 1), (36, 2), (38, 2), (39, 1), (40, 1), (41, 4), (44, 1), (46, 5), (49, 2), (62, 13), (63, 5), (64, 2), (65, 6), (68, 2), (72, 3), (74, 1), (75, 1), (76, 3), (79, 1), (80, 6), (81, 1), (82, 2), (85, 9), (87, 3), (89, 2), (90, 1), (91, 1), (94, 2), (95, 2), (96, 2), (97, 2), (99, 6), (100, 2), (102, 2), (103, 2), (104, 5), (105, 1), (107, 1), (109, 1), (110, 4), (114, 4), (119, 4), (126, 2), (129, 1), (131, 1), (135, 2), (136, 1), (137, 4), (139, 1), (144, 1), (148, 1), (149, 2), (150, 12), (155, 2), (161, 2), (163, 6), (164, 2), (165, 16), (168, 1), (171, 5), (172, 5), (173, 7), (187, 2), (197, 2), (201, 2), (202, 5), (203, 3), (204, 9), (206, 4), (207, 5), (208, 6), (212, 2), (213, 1), (214, 5), (215, 11), (217, 4), (221, 3), (222, 4), (223, 2), (224, 4), (225, 1), (226, 2), (227, 2), (228, 4), (229, 1), (230, 3), (231, 2), (232, 3), (234, 5), (235, 4), (236, 2), (237, 3), (238, 1), (239, 2), (245, 1), (246, 4)]"
ultradireita,"[(0, 1), (1, 1), (174, 2), (203, 1)]"
